year,canonical_branch,category,quota,seat_count
2025,PAINT TECHNOLOGY,EWS(GIRL),HOME STATE,1
2025,PAINT TECHNOLOGY,EWS(AF),HOME STATE,0
2025,PAINT TECHNOLOGY,EWS(FF),HOME STATE,0
2025,PAINT TECHNOLOGY,EWS(PH),HOME STATE,1
2025,PAINT TECHNOLOGY,OPEN,TFW,3
2025,PAINT TECHNOLOGY,OPEN,OTHER STATE,2
2025,PAINT TECHNOLOGY,BC,OTHER STATE,0
2025,PAINT TECHNOLOGY,SC,OTHER STATE,1
2025,PAINT TECHNOLOGY,ST,OTHER STATE,0
2025,PLASTIC TECHNOLOGY,OPEN,HOME STATE,16
2025,PLASTIC TECHNOLOGY,OPEN(GIRL),HOME STATE,4
2025,PLASTIC TECHNOLOGY,OPEN(AF),HOME STATE,1
2025,PLASTIC TECHNOLOGY,OPEN(FF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,OPEN(PH),HOME STATE,1
2025,PLASTIC TECHNOLOGY,BC,HOME STATE,11
2025,PLASTIC TECHNOLOGY,BC(GIRL),HOME STATE,3
2025,PLASTIC TECHNOLOGY,BC(AF),HOME STATE,1
2025,PLASTIC TECHNOLOGY,BC(FF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,BC(PH),HOME STATE,1
2025,PLASTIC TECHNOLOGY,SC,HOME STATE,8
2025,PLASTIC TECHNOLOGY,SC(GIRL),HOME STATE,3
2025,PLASTIC TECHNOLOGY,SC(AF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,SC(FF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,SC(PH),HOME STATE,1
2025,PLASTIC TECHNOLOGY,ST,HOME STATE,0
2025,PLASTIC TECHNOLOGY,ST(GIRL),HOME STATE,1
2025,PLASTIC TECHNOLOGY,ST(AF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,ST(FF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,ST(PH),HOME STATE,0
2025,PLASTIC TECHNOLOGY,EWS,HOME STATE,4
2025,PLASTIC TECHNOLOGY,EWS(GIRL),HOME STATE,1
2025,PLASTIC TECHNOLOGY,EWS(AF),HOME STATE,0
2025,PLASTIC TECHNOLOGY,EWS(FF),HOME STATE,1
2025,PLASTIC TECHNOLOGY,EWS(PH),HOME STATE,0
2025,PLASTIC TECHNOLOGY,OPEN,TFW,3
2025,PLASTIC TECHNOLOGY,OPEN,OTHER STATE,2
2025,PLASTIC TECHNOLOGY,BC,OTHER STATE,0
2025,PLASTIC TECHNOLOGY,SC,OTHER STATE,0
2025,PLASTIC TECHNOLOGY,ST,OTHER STATE,1
2025,LEATHER TECHNOLOGY,OPEN,HOME STATE,8
2025,LEATHER TECHNOLOGY,OPEN(GIRL),HOME STATE,3
2025,LEATHER TECHNOLOGY,OPEN(AF),HOME STATE,1
2025,LEATHER TECHNOLOGY,OPEN(FF),HOME STATE,0
2025,LEATHER TECHNOLOGY,OPEN(PH),HOME STATE,0
2025,LEATHER TECHNOLOGY,BC,HOME STATE,6
2025,LEATHER TECHNOLOGY,BC(GIRL),HOME STATE,2
2025,LEATHER TECHNOLOGY,BC(AF),HOME STATE,0
2025,LEATHER TECHNOLOGY,BC(FF),HOME STATE,0
2025,LEATHER TECHNOLOGY,BC(PH),HOME STATE,0
2025,LEATHER TECHNOLOGY,SC,HOME STATE,5
2025,LEATHER TECHNOLOGY,SC(GIRL),HOME STATE,0
2025,LEATHER TECHNOLOGY,SC(AF),HOME STATE,0
2025,LEATHER TECHNOLOGY,SC(FF),HOME STATE,0
2025,LEATHER TECHNOLOGY,SC(PH),HOME STATE,0
2025,LEATHER TECHNOLOGY,ST,HOME STATE,1
2025,LEATHER TECHNOLOGY,ST(GIRL),HOME STATE,0
2025,LEATHER TECHNOLOGY,ST(AF),HOME STATE,0
2025,LEATHER TECHNOLOGY,ST(FF),HOME STATE,0
2025,LEATHER TECHNOLOGY,ST(PH),HOME STATE,0
2025,LEATHER TECHNOLOGY,EWS,HOME STATE,1
2025,LEATHER TECHNOLOGY,EWS(GIRL),HOME STATE,1
2025,LEATHER TECHNOLOGY,EWS(AF),HOME STATE,0
2025,LEATHER TECHNOLOGY,EWS(FF),HOME STATE,1
2025,LEATHER TECHNOLOGY,EWS(PH),HOME STATE,0
2025,LEATHER TECHNOLOGY,OPEN,TFW,1
2025,LEATHER TECHNOLOGY,OPEN,OTHER STATE,1
2025,LEATHER TECHNOLOGY,BC,OTHER STATE,0
2025,LEATHER TECHNOLOGY,SC,OTHER STATE,0
2025,LEATHER TECHNOLOGY,ST,OTHER STATE,0
