year,round,branch,category,quota,opening_rank,closing_rank
2023,Round 2,ELECTRICAL ENGG.,EWS,Home State,43522,45555
2023,Round 2,ELECTRICAL ENGG.,OPEN(AF),Home State,57502,57502
2023,Round 2,ELECTRICAL ENGG.,OPEN(FF),Home State,228470,228470
2023,Round 2,ELECTRICAL ENGG.,OPEN GIRL,Home State,45371,52864
2023,Round 2,ELECTRICAL ENGG.,OPEN,Home State,36793,43458
2023,Round 2,ELECTRICAL ENGG.,OPEN(PH),Home State,479605,588521
2023,Round 2,ELECTRICAL ENGG.,SC(AF),Home State,301434,301434
2023,Round 2,ELECTRICAL ENGG.,SC(GIRL),Home State,178320,182199
2023,Round 2,ELECTRICAL ENGG.,SC,Home State,136339,155599
2023,Round 2,ELECTRICAL ENGG.,ST,Home State,375490,375490
2023,Round 2,ELECTRICAL ENGG. (FW),OPEN (TF),Home State,39434,45556
2023,Round 2,ELECTRONICS ENGG.,BC,All India,50312,50312
2023,Round 2,ELECTRONICS ENGG.,OPEN,All India,26041,26882
2023,Round 2,ELECTRONICS ENGG.,BC(AF),Home State,81715,81715
2023,Round 2,ELECTRONICS ENGG.,BC(GIRL),Home State,65569,69087
2023,Round 2,ELECTRONICS ENGG.,BC,Home State,41024,47311
2023,Round 2,ELECTRONICS ENGG.,BC(PH),Home State,709651,709651
2023,Round 2,ELECTRONICS ENGG.,EWS(GIRL),Home State,50205,50205
2023,Round 2,ELECTRONICS ENGG.,EWS,Home State,36444,41784
2023,Round 2,ELECTRONICS ENGG.,OPEN(AF),Home State,53288,58029
2023,Round 2,ELECTRONICS ENGG.,OPEN(FF),Home State,200704,200704
2023,Round 2,ELECTRONICS ENGG.,OPEN GIRL,Home State,36397,44460
2023,Round 2,ELECTRONICS ENGG.,OPEN,Home State,32423,35919
2023,Round 2,ELECTRONICS ENGG.,OPEN(PH),Home State,425397,425397
2023,Round 2,ELECTRONICS ENGG.,SC(AF),Home State,380844,380844
2023,Round 2,ELECTRONICS ENGG.,SC(GIRL),Home State,160284,178096
2023,Round 2,ELECTRONICS ENGG.,SC,Home State,124651,146896
2023,Round 2,ELECTRONICS ENGG.,ST(GIRL),Home State,387175,387175
2023,Round 2,ELECTRONICS ENGG.,ST,Home State,338052,338052
2023,Round 2,ELECTRONICS ENGG. (FW),OPEN (TF),Home State,33195,34158
2023,Round 2,MECHANICAL ENGG.,BC,All India,61772,61772
2023,Round 2,MECHANICAL ENGG.,OPEN,All India,34970,34970
2023,Round 2,MECHANICAL ENGG.,SC,All India,187121,187121
2023,Round 2,MECHANICAL ENGG.,BC(AF),Home State,87238,87238
2023,Round 2,MECHANICAL ENGG.,BC(GIRL),Home State,78535,84408
2023,Round 2,MECHANICAL ENGG.,BC,Home State,53747,60043
2023,Round 2,MECHANICAL ENGG.,EWS(AF),Home State,158130,158130
2023,Round 2,MECHANICAL ENGG.,EWS(GIRL),Home State,63526,63526
2023,Round 2,MECHANICAL ENGG.,EWS,Home State,50447,55206
2023,Round 2,MECHANICAL ENGG.,OPEN(AF),Home State,69159,69159
2023,Round 2,MECHANICAL ENGG.,OPEN GIRL,Home State,53559,60600
2023,Round 2,MECHANICAL ENGG.,OPEN,Home State,42641,47806
2023,Round 2,MECHANICAL ENGG.,OPEN(PH),Home State,1015754,1015754
2023,Round 2,MECHANICAL ENGG.,SC(GIRL),Home State,204887,209059
2023,Round 2,MECHANICAL ENGG.,SC,Home State,149819,161886
2023,Round 2,MECHANICAL ENGG.,ST,Home State,387243,387243
2023,Round 2,MECHANICAL ENGG. (FW),OPEN (TF),Home State,51923,55171
2023,Round 2,CHEMICAL ENGG.,OPEN,All India,34649,38773
2023,Round 2,CHEMICAL ENGG.,BC(AF),Home State,93680,93680
2023,Round 2,CHEMICAL ENGG.,BC(GIRL),Home State,70345,78790
2023,Round 2,CHEMICAL ENGG.,BC,Home State,58394,64911
2023,Round 2,CHEMICAL ENGG.,EWS(GIRL),Home State,65193,69180
2023,Round 2,CHEMICAL ENGG.,EWS,Home State,56035,59919
2023,Round 2,CHEMICAL ENGG.,OPEN(AF),Home State,74470,74470
2023,Round 2,CHEMICAL ENGG.,OPEN GIRL,Home State,55433,61437
2023,Round 2,CHEMICAL ENGG.,OPEN,Home State,46499,54656
2023,Round 2,CHEMICAL ENGG.,OPEN(PH),Home State,1020197,1020197
2023,Round 2,CHEMICAL ENGG.,SC(AF),Home State,421360,421360
2023,Round 2,CHEMICAL ENGG.,SC(GIRL),Home State,219185,230044
2023,Round 2,CHEMICAL ENGG.,SC,Home State,164291,189300
2023,Round 2,CHEMICAL ENGG.,ST,Home State,449222,449222
2023,Round 2,CHEMICAL ENGG. (FW),OPEN (TF),Home State,49720,49720
