Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
187,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,EWS,46390,48028,Round 1
188,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,EWS(PH),1020197,1020197,Round 1
189,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN(AF),59680,59680,Round 1
190,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN(FF),333170,333170,Round 1
191,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN GIRL,47798,51801,Round 1
192,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN,35807,44760,Round 1
193,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN(PH),613798,778343,Round 1
194,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,SC(AF),249014,249014,Round 1
195,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,SC(GIRL),177609,206450,Round 1
196,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,SC,117388,160923,Round 1
197,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,ST,338052,338052,Round 1
198,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG. (FW),Home State,OPEN (TF),45117,47410,Round 1
199,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,All India,BC,75323,75323,Round 1
200,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,All India,OPEN,41821,41821,Round 1
201,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,All India,SC,187878,187878,Round 1
202,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,BC(GIRL),76823,90275,Round 1
203,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,BC,65181,81642,Round 1
204,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,EWS(GIRL),71890,71890,Round 1
205,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,EWS,72508,75049,Round 1
206,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,OPEN(AF),66319,66319,Round 1
207,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,OPEN GIRL,62098,68883,Round 1
208,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,OPEN,50582,63031,Round 1
209,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,SC(AF),301434,301434,Round 1
210,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,SC(GIRL),215807,230440,Round 1
211,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,SC,164826,195533,Round 1
212,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,ST,395385,395385,Round 1
